Country,Cluster
Finland,C0
Denmark,C0
Norway,C0
Iceland,C0
Netherlands,C0
Switzerland,C0
Sweden,C0
Austria,C0
Luxembourg,C0
United Kingdom,C0
Ireland,C0
Germany,C0
Belgium,C11
Czechia,C11
Malta,C0
France,C11
Spain,C11
Italy,C11
Slovakia,C11
Poland,C11
Lithuania,C11
Slovenia,C11
Kosovo,C12
Romania,C11
Cyprus,C11
Latvia,C11
Estonia,C11
Hungary,C11
Portugal,C11
Russia,C11
Serbia,C12
Moldova,C12
Montenegro,C12
Croatia,C11
Bosnia and Herz.,C12
Turkey,C11
Belarus,C11
Greece,C11
North Macedonia,C12
Bulgaria,C11
Albania,C12
Armenia,C12
Georgia,C12
Ukraine,C12